	winner
532	0.5
533	1.0
534	0.5
535	1.0
536	0.5
537	1.0
538	1.0
539	0.5
540	0.0
541	0.5
542	1.0
543	0.5
544	1.0
545	0.0
546	1.0
547	1.0
548	1.0
549	0.5
550	0.0
551	0.0
552	1.0
553	0.5
554	1.0
555	0.0
556	0.5
557	0.5
558	1.0
559	0.0
560	0.0
561	1.0
562	0.5
563	0.0
564	1.0
565	1.0
566	1.0
567	0.0
568	1.0
569	1.0
570	0.0
571	0.5
572	0.5
573	1.0
574	1.0
575	0.0
576	0.5
577	1.0
578	0.0
579	0.0
580	0.0
581	0.0
582	0.5
583	1.0
584	1.0
585	0.5
586	0.5
587	1.0
588	1.0
589	1.0
590	0.0
591	0.0
592	0.5
593	1.0
594	1.0
595	1.0
596	0.5
597	0.5
598	1.0
599	0.5
600	1.0
601	0.0
602	1.0
603	1.0
604	1.0
605	0.0
606	0.5
607	1.0
608	1.0
609	0.5
610	1.0
611	0.5
612	1.0
613	0.5
614	0.0
615	0.0
616	0.5
617	0.5
618	0.0
619	0.0
620	0.0
621	1.0
622	1.0
623	0.5
624	0.0
625	0.0
626	1.0
627	1.0
628	0.0
629	1.0
630	0.5
631	0.0
632	1.0
633	0.0
634	0.0
635	1.0
636	0.0
637	1.0
638	0.0
639	0.5
640	1.0
641	1.0
642	0.0
643	0.0
644	1.0
645	0.0
646	1.0
647	0.5
648	1.0
649	0.0
650	1.0
651	0.0
652	1.0
653	0.0
654	1.0
655	1.0
656	0.5
657	1.0
658	1.0
659	0.5
660	1.0
661	1.0
662	1.0
663	1.0
664	1.0
665	1.0
666	0.5
667	1.0
668	0.0
669	0.5
670	0.5
671	1.0
672	0.5
673	0.0
674	0.0
675	1.0
676	0.0
677	0.0
678	0.5
679	1.0
680	0.5
681	1.0
682	0.5
683	1.0
684	0.0
685	1.0
686	0.0
687	0.5
688	1.0
689	0.0
690	0.0
691	1.0
692	1.0
693	1.0
694	1.0
695	1.0
696	1.0
697	0.5
698	1.0
699	0.0
700	0.5
701	1.0
702	0.5
703	0.0
704	0.0
705	0.0
706	1.0
707	0.5
708	0.5
709	0.5
710	1.0
711	1.0
712	0.5
713	0.0
714	0.0
715	1.0
716	1.0
717	1.0
718	0.5
719	0.5
720	0.5
721	1.0
722	0.0
723	0.0
724	0.0
725	1.0
726	1.0
727	0.0
728	0.0
729	0.5
730	0.5
731	1.0
732	0.5
733	0.0
734	0.0
735	0.5
736	1.0
737	1.0
738	1.0
739	1.0
740	0.0
741	0.0
742	0.5
743	0.0
744	0.0
745	1.0
746	0.0
747	1.0
748	1.0
749	0.5
750	0.0
751	0.0
752	0.5
753	0.0
754	0.0
755	0.5
756	1.0
757	0.0
758	1.0
759	1.0
760	1.0
761	1.0
762	0.5
763	1.0
764	1.0
765	0.5
766	0.0
767	0.0
768	0.0
769	0.0
770	0.0
771	0.0
772	1.0
773	1.0
774	0.0
775	1.0
776	1.0
777	0.0
778	0.0
779	1.0
780	1.0
781	1.0
782	1.0
783	1.0
784	0.5
785	0.0
786	1.0
787	0.5
788	0.5
789	0.0
790	0.0
791	0.0
792	1.0
793	1.0
794	0.5
795	0.0
796	0.0
797	0.0
798	1.0
799	0.5
800	1.0
801	1.0
802	0.0
803	0.5
804	0.0
805	1.0
806	0.0
807	0.0
808	0.0
809	0.5
810	0.0
811	1.0
812	0.0
813	1.0
814	0.0
815	0.5
816	0.0
817	1.0
818	0.0
819	0.5
820	0.5
821	1.0
822	1.0
823	1.0
824	0.0
825	0.0
826	0.0
827	1.0
828	0.5
829	0.5
830	1.0
831	1.0
832	0.5
833	1.0
834	1.0
835	0.5
836	1.0
837	1.0
838	0.5
839	1.0
840	1.0
841	1.0
842	0.0
843	1.0
844	1.0
845	0.5
846	0.0
847	0.5
848	0.0
849	1.0
